id,type,price,a_min,a_max,search
70463,S801B-C125,59.30,90,112.5,mcb 1p c125a 16ka
70464,S802B-C80,84.79,56.5,71.5,mcb 2p c80a 16ka
70465,S802B-C100,88.64,71.5,90,mcb 2p c100a 16ka
70466,S802B-C125,104.56,90,112.5,mcb 2p c125a 16ka
70467,S803B-C80,106.12,56.5,71.5,mcb 3p c80a 16ka
70468,S803B-C100,116.52,71.5,90,mcb 3p c100a 16ka
70469,S803B-C125,142.22,90,112.5,mcb 3p c125a 16ka
70470,S804B-C80,142.22,56.5,71.5,mcb 4p c80a 16ka
70471,S804B-C100,147.90,71.5,90,mcb 4p c100a 16ka
70472,S804B-C125,181.56,90,112.5,mcb 4p c125a 16ka
43886,S801C-C80,61.38,56.5,71.5,mcb 1p c80a 25ka
43887,S801C-C100,62.42,71.5,90,mcb 1p c100a 25ka
43888,S801C-C125,66.48,90,112.5,mcb 1p c125a 25ka
48783,S802C-C80,117.57,56.5,71.5,mcb 2p c80a 25ka
70458,S802C-C100,119.44,71.5,90,mcb 2p c100a 25ka
70459,S802C-C125,131.61,90,112.5,mcb 2p c125a 25ka
43890,S803C-C80,160.84,56.5,71.5,mcb 3p c80a 25ka
43891,S803C-C100,176.87,71.5,90,mcb 3p c100a 25ka
43892,S803C-C125,194.35,90,112.5,mcb 3p c125a 25ka
45158,S804C-C80,223.17,56.5,71.5,mcb 4p c80a 25ka
70460,S804C-C100,244.49,71.5,90,mcb 4p c100a 25ka
49142,S804C-C125,260.10,90,112.5,mcb 4p c125a 25ka
70449,S801N-C80,70.02,56.5,71.5,mcb 1p c80a 36ka
70450,S801N-C100,73.77,71.5,90,mcb 1p c100a 36ka
70451,S801N-C125,79.27,90,112.5,mcb 1p c125a 36ka
70452,S802N-C80,139.10,56.5,71.5,mcb 2p c80a 36ka
70453,S802N-C100,142.22,71.5,90,mcb 2p c100a 36ka
70454,S802N-C125,151.90,90,112.5,mcb 2p c125a 36ka
40612,S803N-C80,186.23,56.5,71.5,mcb 3p c80a 36ka
47345,S803N-C100,199.76,71.5,90,mcb 3p c100a 36ka
40613,S803N-C125,222.65,90,112.5,mcb 3p c125a 36ka
70455,S804N-C80,272.58,56.5,71.5,mcb 4p c80a 36ka
70456,S804N-C100,274.67,71.5,90,mcb 4p c100a 36ka
70457,S804N-C125,286.11,90,112.5,mcb 4p c125a 36ka
45426,ΧΤ1Β160R16,109.38,0,13.6,cb 3p 016a 18ka 
45493,ΧΤ1Β160R16,142.28,0,13.6,cb 4p 16a 18ka 
45428,XT1B160R20,109.38,13.6,17,cb 3p 20a 18ka 
45496,XT1B160R20,142.28,13.6,17,cb 4p 20a 18ka 
45429,XT1B160R25,109.38,17,21.25,cb 3p 25a 18ka 
45497,XT1B160R25,142.28,17,21.25,cb 4p 25a 18ka 
45430,XT1B160R32,109.38,21.25,27.2,cb 3p 32a 18ka 
45498,XT1B160R32,142.28,21.25,27.2,cb 4p 32a 18ka 
45431,XT1B160R40,109.38,27.2,34,cb 3p 40a 18ka 
45499,XT1B160R40,142.28,27.2,34,cb 4p 40a 18ka 
45432,XT1B160R50,109.38,34,42.5,cb 3p 50a 18ka 
45500,XT1B160R50,142.28,34,42.5,cb 4p 50a 18ka 
45433,XT1B160R63,109.38,42.5,53.55,cb 3p 63a 18ka 
45501,XT1B160R63,142.28,42.5,53.55,cb 4p 63a 18ka 
45434,XT1B160R80,109.38,53.55,68,cb 3p 80a 18ka 
45502,XT1B160R80,142.28,53.55,68,cb 4p 80a 18ka 
45424,XT1B160R100,109.38,68,85,cb 3p 100a 18ka 
45490,XT1B160R100,142.28,68,85,cb 4p 100a 18ka 
45425,XT1B160R125,136.54,85,106.25,cb 3p 125a 18ka 
45491,XT1B160R125,179.65,85,106.25,cb 4p 125a 18ka 
45492,XT1B160R125,179.65,85,106.25,cb 4p(N=50%) 125a 18ka 
45427,XT1B160R160,185.83,106.25,136,cb 3p 160a 18ka 
45494,XT1B160R160,248.77,106.25,136,cb 4p 160a 18ka 
45495,XT1B160R160,248.77,106.25,136,cb 4p(N=50%) 160a 18ka 
79876,XT1C160R16,126.06,0,13.6,cb 3p 16a 25ka 
79890,XT1C160R16,164.75,0,13.6,cb 4p 16a 25ka 
79877,XT1C160R20,126.06,13.6,17,cb 3p 20a 25ka 
79891,XT1C160R20,164.75,13.6,17,cb 4p 20a 25ka 
45438,XT1C160R25,126.06,17,21.25,cb 3p 25a 25ka 
45508,XT1C160R25,164.75,17,21.25,cb 4p 25a 25ka 
45439,XT1C160R32,126.06,21.25,27.2,cb 3p 32a 25ka 
45509,XT1C160R32,164.75,21.25,27.2,cb 4p 32a 25ka 
45440,XT1C160R40,126.06,27.2,34,cb 3p 40a 25ka 
45510,XT1C160R40,164.75,27.2,34,cb 4p 40a 25ka 
45441,XT1C160R50,126.06,34,42.5,cb 3p 50a 25ka 
45511,XT1C160R50,164.75,34,42.5,cb 4p 50a 25ka 
